NSC,Log10HiConc,ConcUnit,Flag,Log10IC50,NumExp,StdDev                           
3691,-4.3,M,>,-4.27,1,0                                                         
3695,-3.8,M,>,-3.81,2,0                                                         
3740,-3.1,M,>,-3.14,2,0                                                         
3767,-3.7,M,>,-3.7,2,0                                                          
3846,-3.7,M,>,-3.7,2,0                                                          
3851,-3.7,M,=,-4.01,2,.03                                                       
3865,-4.5,M,=,-4.78,6,.04                                                       
3875,-5.7,M,>,-5.68,2,0                                                         
3899,-3.7,M,=,-4.05,2,.07                                                       
3910,-3.7,M,=,-3.94,2,.01                                                       
3927,-4.8,M,=,-6.05,2,.11                                                       
3929,-3.7,M,=,-4.93,2,.11                                                       
3937,-3.7,M,=,-4.76,2,.08                                                       
3951,-3.7,M,=,-4.47,2,.02                                                       
4056,2.1,u,>,2.11,1,0                                                           
4108,-5.7,M,=,-6.9,1,0                                                          
4108,-3.7,M,<,-6.1,3,.95                                                        
4114,-3.7,M,=,-6.14,1,0                                                         
4120,-3.7,M,=,-4.18,2,.18                                                       
4140,-4.1,M,>,-4.12,2,0                                                         
4202,-3.5,M,=,-4.72,1,0                                                         
4236,-3.7,M,=,-4.97,1,0                                                         
4238,-3.7,M,=,-6.4,2,.02                                                        
4239,-3.7,M,=,-6.3,1,0                                                          
4265,-3.7,M,=,-5.93,1,0                                                         
4280,-4.9,M,=,-6.62,2,.05                                                       
4280,-2.9,M,<,-6.42,2,0                                                         
4297,-3.7,M,>,-3.7,2,0                                                          
4300,-4,M,>,-4,4,0                                                              
4323,-2.9,M,>,-2.92,4,0                                                         
4367,-4.1,M,=,-4.86,2,.69                                                       
4375,-3.7,M,=,-4.19,4,.29                                                       
4416,-3.7,M,=,-3.87,2,.12                                                       
4419,-3.7,M,>,-3.7,2,0                                                          
4429,-3.7,M,>,-3.7,2,0                                                          
4436,-3.7,M,=,-4.64,2,.02                                                       
4438,-3.7,M,>,-3.7,2,0                                                          
4447,-3.7,M,=,-5.63,1,0                                                         
4462,-3.7,M,>,-3.7,2,0                                                          
4479,-3.7,M,>,-3.7,2,0                                                          
4492,-4.7,M,=,-4.95,2,.02                                                       
4492,-3.7,M,=,-5.45,3,.01                                                       
4493,-3.7,M,>,-3.75,6,.09                                                       
4500,2,u,=,1.75,1,0                                                             
4516,-5.3,M,>,-5.38,2,.12                                                       
4559,-3.7,M,>,-3.7,2,0                                                          
4560,-3.2,M,>,-3.19,2,0                                                         
4589,-3.7,M,>,-3.7,2,0                                                          
4595,-3.7,M,>,-3.7,2,0                                                          
4599,-3.7,M,>,-3.7,2,0                                                          
4645,-3.5,M,>,-3.48,3,0                                                         
4645,-3.3,M,>,-3.3,4,0                                                          
4646,-3.8,M,=,-4.14,2,.06                                                       
4647,-3.7,M,>,-3.7,2,0                                                          
4726,-3.7,M,=,-4.98,4,.69                                                       
4728,-2.7,M,=,-3.06,1,0                                                         
4737,-3.7,M,=,-4.88,1,0                                                         
4744,-3.7,M,>,-3.7,6,0                                                          
4745,-3.7,M,>,-3.73,2,0                                                         
4763,-3.7,M,=,-4.52,2,.03                                                       
4767,-3.7,M,=,-4.96,1,0                                                         
4771,-3.7,M,>,-3.7,1,0                                                          
4798,-3.7,M,>,-3.7,2,0                                                          
4823,-4.7,M,=,-5.67,4,.84                                                       
4823,-3.7,M,=,-6.14,2,.15                                                       
4851,-3.7,M,>,-3.7,1,0                                                          
4857,-2.8,M,=,-4.4,2,.03                                                        
4867,-2.9,M,>,-2.92,2,0                                                         
4896,-4.2,M,=,-4.93,2,.01                                                       
4905,-3.7,M,=,-4.97,2,.06                                                       
4905,-3.5,M,=,-5.39,1,0                                                         
4926,-3.7,M,>,-3.7,2,0                                                          
4935,-2.8,M,=,-3.15,2,.05                                                       
4946,-3.7,M,>,-3.77,2,.09                                                       
4971,-3.7,M,>,-3.7,6,0                                                          
5001,-3.7,M,=,-4.01,2,.01                                                       
5003,-3.7,M,>,-3.7,2,0                                                          
5007,-3.7,M,=,-3.98,4,.03                                                       
5015,-3.7,M,>,-3.82,4,.25                                                       
5034,-3.7,M,=,-5.37,1,0                                                         
5038,-3.7,M,=,-4.52,2,0                                                         
5042,-4.4,M,>,-4.42,2,0                                                         
5059,-3.7,M,>,-3.7,2,0                                                          
5063,-3.7,M,=,-4.5,4,.07                                                        
5066,-3.7,M,=,-5.46,2,.01                                                       
5067,-4.3,M,>,-4.43,4,.25                                                       
5068,-3.7,M,>,-3.94,5,.19                                                       
5069,-3.7,M,=,-4.55,2,.01                                                       
5070,-3.5,M,=,-4.23,2,.22                                                       
5085,-3.7,M,>,-3.7,2,0                                                          
5105,-3.7,M,>,-3.7,2,0                                                          
